state,court_name,court_folder,year,case_id,case_folder,case_title,opinion_date,source_text_path,output_case_path,Case Number,Case Title,Court,Court Level,Courts Website,Date,Firm,Firm Address,Lawyer + Side,Metadata location (CSV file path),Opinion folder (PDF full path),State
Vermont,Vermont Environmental Division,environmental,2000,101-6-99,101-6-99,,02/16/2000,downloads/environmental/2000/101-6-99/99-101z.sjo.txt,environmental/2000/101-6-99,101-6-99,Appeal of Lovell,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,02/16/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/101-6-99/99-101z.sjo.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,105-6-00 Vtec,105-6-00_Vtec,,12/07/2000,downloads/environmental/2000/105-6-00 Vtec/00-105z.sjo.txt,environmental/2000/105-6-00_Vtec,105-6-00 Vtec,Appeal of Dubuque,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/07/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/105-6-00 Vtec/00-105z.sjo.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,106-7-99 Vtec,106-7-99_Vtec,,05/10/2000,downloads/environmental/2000/106-7-99 Vtec/99-106z.dec.txt,environmental/2000/106-7-99_Vtec,106-7-99 Vtec,Town of St. Albans v Deso,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/10/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/106-7-99 Vtec/99-106z.dec.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,107-7-99 Vtec,107-7-99_Vtec,,05/05/2000,downloads/environmental/2000/107-7-99 Vtec/99-107za.sjo.txt,environmental/2000/107-7-99_Vtec,107-7-99 Vtec,"Village of Essex Junction v Hauk Bldg Supply, Inc.",Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/05/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/107-7-99 Vtec/99-107za.sjo.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,107-7-99 Vtec,107-7-99_Vtec__2000_05_05,,05/05/2000,downloads/environmental/2000/107-7-99 Vtec/ecrt107799do.txt,environmental/2000/107-7-99_Vtec__2000_05_05,107-7-99 Vtec,"Village of Essex Junc. v. Hauke Building Supply, Inc. and In re: Appeals of Brooks Pharmacy",Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,05/05/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/107-7-99 Vtec/ecrt107799do.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,109-7-99 Vtec,109-7-99_Vtec,,07/14/2000,downloads/environmental/2000/109-7-99 Vtec/99-109z.dec.txt,environmental/2000/109-7-99_Vtec,109-7-99 Vtec,Town of St. Albans v McCracken,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,07/14/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/109-7-99 Vtec/99-109z.dec.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,114-6-00 Vtec,114-6-00_Vtec,,09/25/2000,downloads/environmental/2000/114-6-00 Vtec/00-114za.mot.txt,environmental/2000/114-6-00_Vtec,114-6-00 Vtec,Appeal of Trickett,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,09/25/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/114-6-00 Vtec/00-114za.mot.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,121-6-00 Vtec,121-6-00_Vtec,,12/18/2000,downloads/environmental/2000/121-6-00 Vtec/00-121zc.mot.txt,environmental/2000/121-6-00_Vtec,121-6-00 Vtec,Appeal of Kernan,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/18/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/121-6-00 Vtec/00-121zc.mot.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,121-6-00 Vtec,121-6-00_Vtec__2000_12_04,,12/04/2000,downloads/environmental/2000/121-6-00 Vtec/00-121za.dis.txt,environmental/2000/121-6-00_Vtec__2000_12_04,121-6-00 Vtec,Appeal of Kernan,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,12/04/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/121-6-00 Vtec/00-121za.dis.pdf,Vermont
Vermont,Vermont Environmental Division,environmental,2000,121-7-99 Vtec,121-7-99_Vtec,,07/18/2000,downloads/environmental/2000/121-7-99 Vtec/99-121z.sjo.txt,environmental/2000/121-7-99_Vtec,121-7-99 Vtec,Appeal of Hamblin,Environmental,Environmental,https://www.vermontjudiciary.org/opinions-decisions,07/18/2000,N/A,N/A,N/A,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/CSV/case.csv,C:/Users/TRENDING PC/LegalAI-Scraper/vermont/downloads/environmental/2000/121-7-99 Vtec/99-121z.sjo.pdf,Vermont
